Make,Year,Engine Size (L),Fuel Type,Average_Price
Audi,2012,4.0,Hybrid,32395.85
Audi,2012,4.1,Petrol,25590.77
Audi,2012,4.2,Diesel,73453.98
Audi,2012,4.2,Electric,40384.27
Audi,2012,4.2,Hybrid,68630.54
Audi,2012,4.3,Hybrid,76982.64
Audi,2012,4.3,Petrol,15268.67
Audi,2012,4.4,Diesel,34626.75
Audi,2012,4.4,Electric,27148.55
Audi,2012,4.5,Hybrid,53695.14
Audi,2012,4.6,Hybrid,20411.53
Audi,2012,4.6,Petrol,28698.66
Audi,2012,4.7,Diesel,25956.95
Audi,2012,4.7,Electric,46027.54
Audi,2012,4.9,Diesel,65949.7
Audi,2012,4.9,Petrol,46926.26
Audi,2012,5.0,Electric,30675.86
Audi,2013,1.0,Electric,50895.0
Audi,2013,1.0,Petrol,22658.39
Audi,2013,1.1,Electric,46932.51
Audi,2013,1.1,Hybrid,34540.21
Audi,2013,1.1,Petrol,69781.25
Audi,2013,1.2,Electric,39048.67
Audi,2013,1.2,Hybrid,27448.45
Audi,2013,1.2,Petrol,49343.49
Audi,2013,1.3,Petrol,33509.29
Audi,2013,1.4,Electric,59192.78
Audi,2013,1.5,Hybrid,76228.14
Audi,2013,1.7,Electric,21330.53
Audi,2013,1.7,Petrol,24151.62
Audi,2013,1.8,Diesel,17301.93
Audi,2013,1.9,Hybrid,42446.92
Audi,2013,1.9,Petrol,15075.52
Audi,2013,2.0,Diesel,29679.5
Audi,2013,2.0,Hybrid,44416.58
Audi,2013,2.1,Diesel,26067.6
Audi,2013,2.1,Electric,27756.48
Audi,2013,2.1,Petrol,71849.58
Audi,2013,2.2,Diesel,43514.72
Audi,2013,2.2,Electric,50424.74
Audi,2013,2.2,Hybrid,32812.31
Audi,2013,2.3,Electric,61258.2
Audi,2013,2.4,Diesel,34783.9
Audi,2013,2.4,Hybrid,55295.52
Audi,2013,2.4,Petrol,29946.56
Audi,2013,2.5,Diesel,17814.07
Audi,2013,2.6,Electric,51115.27
Audi,2013,2.6,Petrol,48096.65
Audi,2013,2.7,Petrol,23779.38
Audi,2013,2.8,Diesel,32801.07
Audi,2013,2.8,Electric,55106.82
Audi,2013,2.8,Hybrid,16451.86
Audi,2013,2.9,Diesel,29452.96
Audi,2013,2.9,Electric,27315.4
Audi,2013,2.9,Petrol,59749.84
Audi,2013,3.0,Petrol,46723.57
Audi,2013,3.1,Diesel,35214.92
Audi,2013,3.1,Hybrid,54426.64
Audi,2013,3.2,Diesel,40682.18
Audi,2013,3.2,Hybrid,61495.31
Audi,2013,3.3,Electric,74515.97
Audi,2013,3.3,Hybrid,31942.54
Audi,2013,3.3,Petrol,69181.82
Audi,2013,3.4,Diesel,78295.31
Audi,2013,3.4,Hybrid,30478.14
Audi,2013,3.5,Electric,23102.34
Audi,2013,3.5,Petrol,57536.38
Audi,2013,3.6,Electric,42996.42
Audi,2013,3.6,Hybrid,53231.2
Audi,2013,3.7,Electric,27207.88
Audi,2013,3.8,Electric,34829.49
Audi,2013,3.9,Electric,31759.58
Audi,2013,4.0,Electric,68105.57
Audi,2013,4.0,Hybrid,68640.29
Audi,2013,4.1,Diesel,48830.03
Audi,2013,4.2,Diesel,51042.19
Audi,2013,4.2,Hybrid,46298.36
Audi,2013,4.2,Petrol,28211.56
Audi,2013,4.3,Diesel,69243.71
Audi,2013,4.3,Electric,52534.67
Audi,2013,4.4,Electric,47683.62
Audi,2013,4.4,Hybrid,24444.35
Audi,2013,4.5,Diesel,45653.09
Audi,2013,4.5,Hybrid,17715.15
Audi,2013,4.5,Petrol,47390.44
Audi,2013,4.6,Diesel,39037.05
Audi,2013,4.6,Petrol,43079.96
Audi,2013,4.7,Electric,34313.06
Audi,2013,4.7,Hybrid,60816.72
Audi,2013,4.8,Diesel,69822.88
Audi,2013,4.8,Hybrid,58031.54
Audi,2013,4.8,Petrol,59336.61
Audi,2013,5.0,Hybrid,16143.89
Audi,2014,1.0,Electric,38072.68
Audi,2014,1.1,Diesel,57009.76
Audi,2014,1.1,Electric,55772.86
Audi,2014,1.1,Hybrid,63262.48
Audi,2014,1.1,Petrol,20196.95
Audi,2014,1.2,Diesel,59951.13
Audi,2014,1.2,Electric,73173.18
Audi,2014,1.2,Hybrid,78776.38
Audi,2014,1.2,Petrol,57131.53
Audi,2014,1.5,Diesel,58771.5
Audi,2014,1.5,Electric,77852.77
Audi,2014,1.5,Hybrid,52492.49
Audi,2014,1.5,Petrol,17051.77
Audi,2014,1.6,Diesel,72639.16
Audi,2014,1.6,Electric,63683.55
Audi,2014,1.7,Diesel,19331.83
Audi,2014,1.7,Hybrid,16114.35
Audi,2014,1.7,Petrol,31000.39
Audi,2014,1.8,Electric,32732.98
Audi,2014,1.8,Hybrid,67172.3
Audi,2014,1.9,Diesel,62173.42
Audi,2014,1.9,Hybrid,42936.48
Audi,2014,2.0,Diesel,58938.73
Audi,2014,2.0,Petrol,16748.34
Audi,2014,2.1,Petrol,66144.14
Audi,2014,2.3,Hybrid,77606.39
Audi,2014,2.4,Diesel,22773.28
Audi,2014,2.4,Hybrid,46384.98
Audi,2014,2.4,Petrol,15453.59
Audi,2014,2.5,Electric,46367.56
Audi,2014,2.5,Petrol,17650.05
Audi,2014,2.6,Hybrid,15387.72
Audi,2014,2.7,Hybrid,58444.07
Audi,2014,2.8,Hybrid,42935.14
Audi,2014,2.9,Electric,20650.04
Audi,2014,3.0,Hybrid,43771.43
Audi,2014,3.1,Diesel,57414.62
Audi,2014,3.1,Petrol,44034.81
Audi,2014,3.2,Diesel,39397.98
Audi,2014,3.2,Hybrid,69596.23
Audi,2014,3.3,Electric,79418.57
Audi,2014,3.3,Hybrid,20956.34
Audi,2014,3.3,Petrol,62603.48
Audi,2014,3.4,Diesel,49653.36
Audi,2014,3.5,Petrol,15708.87
Audi,2014,3.6,Diesel,31347.87
Audi,2014,3.6,Hybrid,26113.27
Audi,2014,3.6,Petrol,38033.18
Audi,2014,3.7,Diesel,15539.07
Audi,2014,3.7,Electric,61612.16
Audi,2014,3.7,Hybrid,48951.98
Audi,2014,3.7,Petrol,52727.38
Audi,2014,3.8,Hybrid,32646.4
Audi,2014,3.8,Petrol,52967.82
Audi,2014,3.9,Hybrid,19866.0
Audi,2014,3.9,Petrol,28198.66
Audi,2014,4.1,Diesel,61200.28
Audi,2014,4.1,Electric,28188.2
Audi,2014,4.1,Hybrid,16600.87
Audi,2014,4.1,Petrol,71192.76
Audi,2014,4.3,Diesel,70237.87
Audi,2014,4.3,Petrol,33270.25
Audi,2014,4.4,Diesel,26828.4
Audi,2014,4.4,Electric,33913.16
Audi,2014,4.4,Hybrid,36940.45
Audi,2014,4.4,Petrol,30694.43
Audi,2014,4.5,Diesel,30271.19
Audi,2014,4.6,Electric,59881.26
Audi,2014,4.7,Diesel,46631.83
Audi,2014,4.7,Electric,48254.78
Audi,2014,4.8,Diesel,79049.49
Audi,2014,4.8,Petrol,35884.42
Audi,2014,4.9,Electric,77101.5
Audi,2014,4.9,Hybrid,69784.41
Audi,2014,5.0,Electric,15694.55
Audi,2014,5.0,Petrol,33588.37
Audi,2015,1.1,Diesel,29179.11
Audi,2015,1.2,Diesel,27634.31
Audi,2015,1.4,Diesel,20590.1
Audi,2015,1.4,Electric,68736.82
Audi,2015,1.5,Hybrid,44195.3
Audi,2015,1.5,Petrol,27238.38
Audi,2015,1.7,Electric,70608.76
Audi,2015,1.7,Hybrid,35487.64
Audi,2015,1.7,Petrol,34185.72
Audi,2015,1.8,Electric,61172.61
Audi,2015,1.8,Hybrid,43157.86
Audi,2015,1.9,Diesel,63754.75
Audi,2015,1.9,Petrol,29796.44
Audi,2015,2.0,Diesel,59261.17
Audi,2015,2.0,Hybrid,71283.82
Audi,2015,2.0,Petrol,51644.85
Audi,2015,2.1,Diesel,61992.65
Audi,2015,2.2,Diesel,76819.39
Audi,2015,2.3,Hybrid,41409.57
Audi,2015,2.3,Petrol,61698.23
Audi,2015,2.4,Diesel,51371.4
Audi,2015,2.4,Petrol,49422.69
Audi,2015,2.5,Electric,43751.61
Audi,2015,2.5,Hybrid,47606.38
Audi,2015,2.6,Electric,44399.74
Audi,2015,2.6,Hybrid,53830.09
Audi,2015,2.6,Petrol,17555.2
Audi,2015,2.7,Diesel,66046.67
Audi,2015,2.7,Hybrid,42698.8
Audi,2015,2.7,Petrol,52015.53
Audi,2015,2.8,Electric,79581.99
Audi,2015,2.8,Hybrid,48448.05
Audi,2015,2.9,Electric,56160.82
Audi,2015,2.9,Hybrid,70913.36
Audi,2015,3.0,Diesel,42120.06
Audi,2015,3.0,Hybrid,32472.62
Audi,2015,3.1,Petrol,37927.5
Audi,2015,3.2,Diesel,48556.05
Audi,2015,3.2,Electric,47407.9
Audi,2015,3.2,Hybrid,46207.4
Audi,2015,3.4,Diesel,35108.61
Audi,2015,3.5,Diesel,56587.27
Audi,2015,3.5,Electric,52686.17
Audi,2015,3.5,Hybrid,57024.75
Audi,2015,3.6,Diesel,42890.6
Audi,2015,3.6,Petrol,45911.18
Audi,2015,3.7,Diesel,25888.71
Audi,2015,3.7,Petrol,70979.39
Audi,2015,3.8,Electric,34215.33
Audi,2015,3.8,Petrol,26016.41
Audi,2015,3.9,Diesel,44118.6
Audi,2015,3.9,Petrol,36879.41
Audi,2015,4.0,Petrol,19197.72
Audi,2015,4.1,Hybrid,28103.35
Audi,2015,4.3,Diesel,35308.86
Audi,2015,4.3,Petrol,53648.6
Audi,2015,4.4,Electric,44975.75
Audi,2015,4.4,Hybrid,19801.28
Audi,2015,4.5,Diesel,76969.73
Audi,2015,4.6,Hybrid,70420.92
Audi,2015,4.7,Diesel,65754.85
Audi,2015,4.7,Hybrid,20990.8
Audi,2015,4.8,Diesel,23054.13
Audi,2015,4.9,Diesel,41222.92
Audi,2015,5.0,Diesel,72003.62
Audi,2016,1.1,Electric,65394.98
Audi,2016,1.2,Diesel,59978.13
Audi,2016,1.2,Petrol,50014.58
Audi,2016,1.4,Diesel,77545.0
Audi,2016,1.4,Electric,32173.94
Audi,2016,1.4,Hybrid,54513.43
Audi,2016,1.4,Petrol,53490.77
Audi,2016,1.5,Hybrid,58275.01
Audi,2016,1.6,Diesel,76873.42
Audi,2016,1.6,Electric,28093.4
Audi,2016,1.6,Hybrid,49122.46
Audi,2016,1.6,Petrol,44510.78
Audi,2016,1.7,Petrol,46760.24
Audi,2016,1.8,Diesel,34383.04
Audi,2016,1.8,Petrol,18733.74
Audi,2016,1.9,Electric,38014.62
Audi,2016,1.9,Petrol,56658.48
Audi,2016,2.0,Hybrid,45770.55
Audi,2016,2.1,Petrol,71135.92
Audi,2016,2.2,Diesel,75964.48
Audi,2016,2.2,Hybrid,43629.48
Audi,2016,2.2,Petrol,77816.3
Audi,2016,2.3,Diesel,26991.88
Audi,2016,2.3,Electric,54096.33
Audi,2016,2.3,Hybrid,49491.17
Audi,2016,2.3,Petrol,79969.78
Audi,2016,2.4,Diesel,18431.33
Audi,2016,2.4,Electric,67320.07
Audi,2016,2.5,Electric,35200.87
Audi,2016,2.5,Petrol,47540.3
Audi,2016,2.6,Diesel,55486.98
Audi,2016,2.6,Petrol,61788.96
Audi,2016,2.7,Electric,70070.65
Audi,2016,2.8,Hybrid,30110.92
Audi,2016,2.9,Diesel,17046.34
Audi,2016,2.9,Electric,57623.28
Audi,2016,2.9,Hybrid,52483.04
Audi,2016,2.9,Petrol,29987.25
Audi,2016,3.0,Hybrid,47161.49
Audi,2016,3.0,Petrol,75813.83
Audi,2016,3.1,Diesel,55882.39
Audi,2016,3.3,Electric,25391.21
Audi,2016,3.4,Electric,61789.74
Audi,2016,3.5,Diesel,57672.8
Audi,2016,3.5,Electric,53508.09
Audi,2016,3.5,Hybrid,27814.18
Audi,2016,3.5,Petrol,42736.47
Audi,2016,3.6,Diesel,18228.62
Audi,2016,3.6,Electric,40709.92
Audi,2016,3.6,Petrol,77690.45
Audi,2016,3.7,Diesel,39270.88
Audi,2016,3.7,Electric,72371.96
Audi,2016,3.7,Hybrid,53799.24
Audi,2016,3.8,Diesel,32017.8
Audi,2016,3.8,Hybrid,23320.13
Audi,2016,3.8,Petrol,46700.19
Audi,2016,3.9,Electric,20470.95
Audi,2016,4.0,Electric,71738.89
Audi,2016,4.1,Diesel,41502.2
Audi,2016,4.1,Hybrid,26002.72
Audi,2016,4.2,Hybrid,28610.14
Audi,2016,4.2,Petrol,74814.37
Audi,2016,4.3,Petrol,30698.82
Audi,2016,4.4,Diesel,29373.54
Audi,2016,4.4,Electric,42823.19
Audi,2016,4.4,Petrol,21336.82
Audi,2016,4.5,Hybrid,69673.76
Audi,2016,4.5,Petrol,57736.61
Audi,2016,4.6,Electric,38857.73
Audi,2016,4.6,Hybrid,29653.68
Audi,2016,4.7,Petrol,43919.46
Audi,2016,4.8,Diesel,48909.88
Audi,2016,4.8,Electric,77487.72
Audi,2016,4.8,Hybrid,60848.89
Audi,2016,4.9,Diesel,25440.99
Audi,2016,5.0,Diesel,79267.02
Audi,2017,1.0,Hybrid,44748.44
Audi,2017,1.1,Diesel,27642.04
Audi,2017,1.1,Petrol,64756.17
Audi,2017,1.2,Diesel,67221.99
Audi,2017,1.2,Hybrid,56148.93
Audi,2017,1.3,Diesel,45298.46
Audi,2017,1.3,Electric,20917.71
Audi,2017,1.3,Petrol,21129.04
Audi,2017,1.4,Diesel,75326.06
Audi,2017,1.4,Petrol,55353.65
Audi,2017,1.5,Hybrid,46371.78
Audi,2017,1.6,Hybrid,40786.49
Audi,2017,1.7,Diesel,47600.05
Audi,2017,1.7,Hybrid,76252.74
Audi,2017,1.8,Diesel,78636.17
Audi,2017,1.8,Hybrid,34804.48
Audi,2017,1.9,Diesel,78372.8
Audi,2017,1.9,Petrol,62440.65
Audi,2017,2.0,Hybrid,42645.71
Audi,2017,2.1,Diesel,50059.87
Audi,2017,2.1,Electric,36039.81
Audi,2017,2.1,Hybrid,15536.36
Audi,2017,2.2,Diesel,68547.26
Audi,2017,2.2,Hybrid,67470.54
Audi,2017,2.2,Petrol,53593.84
Audi,2017,2.3,Diesel,41988.75
Audi,2017,2.3,Electric,54436.32
Audi,2017,2.4,Hybrid,59660.81
Audi,2017,2.5,Diesel,41619.64
Audi,2017,2.5,Hybrid,74551.32
Audi,2017,2.6,Electric,45817.66
Audi,2017,2.6,Hybrid,18890.17
Audi,2017,2.7,Diesel,32471.49
Audi,2017,2.7,Hybrid,48942.27
Audi,2017,2.7,Petrol,75244.57
Audi,2017,2.8,Electric,45747.16
Audi,2017,2.8,Hybrid,58199.48
Audi,2017,2.9,Hybrid,51797.0
Audi,2017,3.0,Hybrid,68366.44
Audi,2017,3.0,Petrol,41607.15
Audi,2017,3.1,Electric,51500.06
Audi,2017,3.1,Petrol,39059.41
Audi,2017,3.2,Diesel,16261.43
Audi,2017,3.2,Hybrid,56721.62
Audi,2017,3.2,Petrol,77629.92
Audi,2017,3.3,Petrol,55310.14
Audi,2017,3.4,Diesel,53553.34
Audi,2017,3.4,Hybrid,78335.98
Audi,2017,3.5,Electric,20994.61
Audi,2017,3.5,Hybrid,60074.35
Audi,2017,3.6,Electric,75595.17
Audi,2017,3.7,Electric,26863.76
Audi,2017,3.8,Diesel,46928.15
Audi,2017,3.8,Electric,47387.1
Audi,2017,3.9,Diesel,26550.22
Audi,2017,3.9,Petrol,63678.0
Audi,2017,4.0,Electric,69691.33
Audi,2017,4.0,Petrol,36566.71
Audi,2017,4.1,Electric,48658.35
Audi,2017,4.2,Diesel,59606.05
Audi,2017,4.2,Electric,44094.15
Audi,2017,4.3,Electric,67876.9
Audi,2017,4.4,Diesel,67758.34
Audi,2017,4.5,Hybrid,70602.08
Audi,2017,4.6,Electric,44300.5
Audi,2017,4.7,Hybrid,68670.03
Audi,2017,4.8,Diesel,54115.91
Audi,2017,4.8,Hybrid,64543.27
Audi,2017,5.0,Electric,25132.91
Audi,2017,5.0,Petrol,51275.86
Audi,2018,1.1,Petrol,42086.29
Audi,2018,1.2,Petrol,45552.99
Audi,2018,1.3,Electric,37568.3
Audi,2018,1.3,Hybrid,19024.79
Audi,2018,1.3,Petrol,57879.05
Audi,2018,1.4,Diesel,22072.7
Audi,2018,1.4,Electric,51753.96
Audi,2018,1.4,Petrol,60051.48
Audi,2018,1.5,Electric,46725.69
Audi,2018,1.5,Petrol,21599.79
Audi,2018,1.7,Hybrid,46686.5
Audi,2018,2.0,Diesel,63717.32
Audi,2018,2.0,Petrol,43144.8
Audi,2018,2.1,Electric,78970.52
Audi,2018,2.1,Petrol,20299.91
Audi,2018,2.2,Diesel,70541.92
Audi,2018,2.2,Electric,56971.92
Audi,2018,2.2,Hybrid,64137.39
Audi,2018,2.3,Electric,15277.1
Audi,2018,2.3,Hybrid,31772.38
Audi,2018,2.3,Petrol,42574.46
Audi,2018,2.4,Electric,76057.1
Audi,2018,2.4,Petrol,51722.0
Audi,2018,2.5,Electric,36332.14
Audi,2018,2.5,Petrol,65098.29
Audi,2018,2.6,Petrol,48813.56
Audi,2018,2.7,Electric,33854.87
Audi,2018,2.8,Electric,51806.26
Audi,2018,2.9,Electric,77702.55
Audi,2018,3.1,Electric,38173.97
Audi,2018,3.1,Hybrid,69522.35
Audi,2018,3.1,Petrol,36854.23
Audi,2018,3.2,Electric,78479.43
Audi,2018,3.2,Hybrid,62409.97
Audi,2018,3.3,Hybrid,63459.61
Audi,2018,3.3,Petrol,64058.28
Audi,2018,3.4,Hybrid,20712.08
Audi,2018,3.4,Petrol,30215.22
Audi,2018,3.5,Diesel,54067.01
Audi,2018,3.5,Electric,69650.93
Audi,2018,3.6,Hybrid,25634.88
Audi,2018,3.7,Diesel,21388.96
Audi,2018,3.9,Diesel,29572.23
Audi,2018,3.9,Petrol,60989.19
Audi,2018,4.0,Hybrid,58001.29
Audi,2018,4.0,Petrol,63342.5
Audi,2018,4.1,Petrol,62650.61
Audi,2018,4.2,Electric,77165.14
Audi,2018,4.2,Petrol,51401.99
Audi,2018,4.3,Diesel,62413.48
Audi,2018,4.3,Electric,57888.96
Audi,2018,4.3,Petrol,60267.4
Audi,2018,4.5,Diesel,35815.91
Audi,2018,4.5,Hybrid,58995.79
Audi,2018,4.5,Petrol,32125.64
Audi,2018,4.6,Diesel,17352.5
Audi,2018,4.6,Electric,28267.14
Audi,2018,4.6,Hybrid,33656.64
Audi,2018,4.7,Diesel,49151.19
Audi,2018,4.7,Electric,71815.73
Audi,2018,4.7,Petrol,78520.01
Audi,2018,4.8,Diesel,29928.32
Audi,2018,4.8,Electric,23844.57
Audi,2018,4.8,Hybrid,38982.56
Audi,2018,4.9,Diesel,41424.01
Audi,2018,4.9,Electric,71838.37
Audi,2019,1.2,Electric,27449.02
Audi,2019,1.3,Diesel,49214.6
Audi,2019,1.3,Petrol,65336.41
Audi,2019,1.4,Diesel,52589.06
Audi,2019,1.4,Electric,38235.18
Audi,2019,1.6,Diesel,43952.42
Audi,2019,1.6,Electric,74777.26
Audi,2019,1.6,Hybrid,44445.15
Audi,2019,1.6,Petrol,45470.87
Audi,2019,1.7,Diesel,52080.41
Audi,2019,1.8,Diesel,37708.07
Audi,2019,1.8,Electric,18525.3
Audi,2019,1.8,Petrol,35805.3
Audi,2019,1.9,Diesel,26461.64
Audi,2019,1.9,Hybrid,28309.34
Audi,2019,1.9,Petrol,61203.24
Audi,2019,2.0,Electric,39933.51
Audi,2019,2.0,Petrol,62997.67
Audi,2019,2.1,Diesel,41414.43
